"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT"
"36WVT1",1,1,61,61,60,NA,NA,3,1,NA,NA,1.49058761229099
"36WVT2",1,1,72,72,71,2,1,3,1,0,1,1.51009334402957
"36WVT3",1,1,43,43,42,NA,NA,4,1,NA,NA,1.49965829464731
"36WVT4",1,1,68,68,67,255,3,3,1,-2,-252,1.50547836426079
"36WVU1",1,1,44,44,43,102,1,1,1,0,-101,1.43026975825479
"36WVU2",1,1,63,63,62,NA,NA,1,1,NA,NA,1.47052489133286
"36WVU3",1,1,153,153,152,3,1,7,4,3,4,1.42450770336871
"36WVU4",1,1,58,58,57,102,2,NA,NA,NA,NA,1.46687535716678
"36WVV1",1,1,99,99,98,NA,NA,NA,NA,NA,NA,1.34725089900953
"36WVV2",1,1,64,64,63,NA,NA,1,1,NA,NA,1.38667491778252
"36WVV3",1,1,97,97,96,NA,NA,NA,NA,NA,NA,1.39197166359608
"36WVV4",1,1,136,136,135,7,3,15,8,5,8,1.41943428434175
"36WWA1",NA,NA,43,43,NA,NA,NA,3,3,NA,NA,1.37041286657591
"36WWA2",1,1,37,37,36,132,6,26,7,1,-106,1.40779403914713
"36WWA3",NA,NA,102,102,NA,NA,NA,NA,NA,NA,NA,1.3918908727776
"36WWA4",NA,NA,91,91,NA,2,1,9,6,5,7,1.4245421399585
"36WWB1",1,1,62,62,61,6,4,5,4,0,-1,1.27838769332317
"36WWB2",NA,NA,66,66,NA,205,4,6,3,-1,-199,1.34295941045684
"36WWB3",1,1,79,79,78,1,1,20,5,4,19,1.35765052003492
"36WWB4",1,1,48,48,47,NA,NA,NA,NA,NA,NA,1.37496049428056
"36WWC2",NA,NA,75,75,NA,NA,NA,6,2,NA,NA,1.22312712007099
"36WWS1",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.54148484750227
"36WWS2",1,1,72,72,71,NA,NA,NA,NA,NA,NA,1.53033333063126
"36WWS3",1,1,123,123,122,NA,NA,1,1,NA,NA,1.54678881265679
"36WWS4",1,1,69,69,68,NA,NA,5,3,NA,NA,1.52889590820885
"36WWT1",2,2,59,59,57,NA,NA,1,1,NA,NA,1.49348776969876
"36WWT2",1,1,63,63,62,NA,NA,23,6,NA,NA,1.52105686479238
"36WWT3",1,1,56,56,55,NA,NA,2,2,NA,NA,1.52288442881818
"36WWT4",2,2,66,66,64,103,2,1,1,-1,-102,1.52748052801405
"36WWU1",1,1,160,160,159,1,1,35,9,8,34,1.45101453233183
"36WWU2",3,3,149,149,146,NA,NA,36,6,NA,NA,1.48185391729733
"36WWU3",1,1,64,64,63,NA,NA,7,4,NA,NA,1.50013256844133
"36WWU4",1,1,57,57,56,NA,NA,NA,NA,NA,NA,1.49223635959625
"36WWV1",1,1,84,84,83,NA,NA,9,6,NA,NA,1.42240382563444
"36WWV2",1,1,37,37,36,NA,NA,2,2,NA,NA,1.46595253285328
"36WWV3",1,1,1,1,0,NA,NA,1,1,NA,NA,1.44848484885642
"36WWV4",1,1,80,80,79,NA,NA,NA,NA,NA,NA,1.48128511871378
"36WXA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40393864501445
"36WXA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42316766994225
"36WXB2",1,1,44,44,43,NA,NA,NA,NA,NA,NA,1.38892115586334
